TimeID,Date,Day,Month,Quarter,Year
1,2013-01-02,2,1,1,2013
2,2013-01-03,3,1,1,2013
3,2013-01-04,4,1,1,2013
4,2013-01-08,8,1,1,2013
5,2013-01-10,10,1,1,2013
6,2013-01-11,11,1,1,2013
7,2013-01-12,12,1,1,2013
8,2013-01-14,14,1,1,2013
9,2013-01-16,16,1,1,2013
10,2013-01-17,17,1,1,2013
11,2013-01-18,18,1,1,2013
12,2013-01-19,19,1,1,2013
13,2013-01-20,20,1,1,2013
14,2013-01-23,23,1,1,2013
15,2013-01-24,24,1,1,2013
16,2013-01-25,25,1,1,2013
17,2013-01-26,26,1,1,2013
18,2013-01-27,27,1,1,2013
19,2013-01-29,29,1,1,2013
20,2013-01-31,31,1,1,2013
21,2013-02-01,1,2,1,2013
22,2013-02-03,3,2,1,2013
23,2013-02-04,4,2,1,2013
24,2013-02-05,5,2,1,2013
25,2013-02-06,6,2,1,2013
26,2013-02-11,11,2,1,2013
27,2013-02-13,13,2,1,2013
28,2013-02-14,14,2,1,2013
29,2013-02-16,16,2,1,2013
30,2013-02-18,18,2,1,2013
31,2013-02-19,19,2,1,2013
32,2013-02-21,21,2,1,2013
33,2013-02-22,22,2,1,2013
34,2013-02-26,26,2,1,2013
35,2013-02-27,27,2,1,2013
36,2013-02-28,28,2,1,2013
37,2013-03-01,1,3,1,2013
38,2013-03-02,2,3,1,2013
39,2013-03-03,3,3,1,2013
40,2013-03-04,4,3,1,2013
41,2013-03-06,6,3,1,2013
42,2013-03-07,7,3,1,2013
43,2013-03-08,8,3,1,2013
44,2013-03-10,10,3,1,2013
45,2013-03-12,12,3,1,2013
46,2013-03-14,14,3,1,2013
47,2013-03-17,17,3,1,2013
48,2013-03-19,19,3,1,2013
49,2013-03-23,23,3,1,2013
50,2013-03-24,24,3,1,2013
51,2013-03-25,25,3,1,2013
52,2013-03-26,26,3,1,2013
53,2013-03-28,28,3,1,2013
54,2013-03-31,31,3,1,2013
55,2013-04-01,1,4,2,2013
56,2013-04-02,2,4,2,2013
57,2013-04-04,4,4,2,2013
58,2013-04-06,6,4,2,2013
59,2013-04-07,7,4,2,2013
60,2013-04-10,10,4,2,2013
61,2013-04-12,12,4,2,2013
62,2013-04-13,13,4,2,2013
63,2013-04-14,14,4,2,2013
64,2013-04-15,15,4,2,2013
65,2013-04-18,18,4,2,2013
66,2013-04-21,21,4,2,2013
67,2013-04-23,23,4,2,2013
68,2013-04-25,25,4,2,2013
69,2013-04-26,26,4,2,2013
70,2013-04-27,27,4,2,2013
71,2013-04-29,29,4,2,2013
72,2013-04-30,30,4,2,2013
73,2013-05-01,1,5,2,2013
74,2013-05-02,2,5,2,2013
75,2013-05-03,3,5,2,2013
76,2013-05-04,4,5,2,2013
77,2013-05-05,5,5,2,2013
78,2013-05-06,6,5,2,2013
79,2013-05-07,7,5,2,2013
80,2013-05-09,9,5,2,2013
81,2013-05-10,10,5,2,2013
82,2013-05-12,12,5,2,2013
83,2013-05-13,13,5,2,2013
84,2013-05-14,14,5,2,2013
85,2013-05-15,15,5,2,2013
86,2013-05-17,17,5,2,2013
87,2013-05-20,20,5,2,2013
88,2013-05-21,21,5,2,2013
